canonical_key,name_ko,district,merged_line_count,merged_lines,station_codes,coord_spread_m,name_variants,official_transfer_flag,transfer_line_match,operator_differs,ja_missing,zh_missing,decision,needs_review,review_reason
자양,자양,11215 광진구,1,7호선,0728,0,자양 | 자양(뚝섬한강공원) | 뚝섬한강공원,N,n/a,false,false,false,single,false,
잠실나루,잠실나루,11710 송파구,1,2호선,0215,0,잠실나루,N,n/a,false,false,false,single,false,
잠실새내,잠실새내,11710 송파구,1,2호선,0217,0,잠실새내,N,n/a,false,false,false,single,false,
잠원,잠원,11650 서초구,1,3호선,0338,0,잠원,N,n/a,false,false,false,single,false,
장승배기,장승배기,11590 동작구,1,7호선,0740,0,장승배기,N,n/a,false,false,false,single,false,
장지,장지,11710 송파구,1,8호선,0819,0,장지,N,n/a,false,false,false,single,false,
장한평,장한평,11200 성동구,1,5호선,0543,0,장한평,N,n/a,false,false,false,single,false,
정릉,정릉,11290 성북구,1,우이신설선,S119,0,정릉,N,n/a,false,true,true,single,false,
제기동,제기동,11230 동대문구,1,1호선,0125,0,제기동,N,n/a,false,false,false,single,false,
종각,종각,11110 종로구,1,1호선,0131,0,종각,N,n/a,false,false,false,single,false,
종로5가,종로5가,11110 종로구,1,1호선,0129,0,종로5가,N,n/a,false,false,false,single,false,
중계,중계,11350 노원구,1,7호선,0714,0,중계,N,n/a,false,false,false,single,false,
중곡,중곡,11215 광진구,1,7호선,0724,0,중곡,N,n/a,false,false,false,single,false,
중랑,중랑역,11260 중랑구,2,경의중앙선 · 경춘선,1201 1201,0,중랑역,Y,false,false,true,true,merge,false,[OVERRIDE RV-073ce0d7 CONFIRMED_MERGE]
중앙보훈병원,중앙보훈병원,11740 강동구,1,수도권  도시철도 9호선,4138,0,중앙보훈병원,N,n/a,false,false,false,single,false,
중화,중화,11260 중랑구,1,7호선,0719,0,중화,N,n/a,false,false,false,single,false,
증미,증미,11500 강서구,1,서울 도시철도 9호선,4108,0,증미,N,n/a,false,true,true,single,false,
증산,증산,11380 은평구,1,6호선,0617,0,증산 | 증산(명지대앞) | 명지대앞,N,n/a,false,false,false,single,false,
창신,창신,11110 종로구,1,6호선,0637,0,창신,N,n/a,false,false,false,single,false,
천왕,천왕,11530 구로구,1,7호선,0749,0,천왕,N,n/a,false,false,false,single,false,
청계산입구,청계산입구,11650 서초구,1,신분당선,D010,0,청계산입구,N,n/a,false,true,true,single,false,
청담,청담,11680 강남구,1,7호선,0729,0,청담,N,n/a,false,false,false,single,false,
하계,하계,11350 노원구,1,7호선,0715,0,하계,N,n/a,false,false,false,single,false,
학동,학동,11680 강남구,1,7호선,0731,0,학동,N,n/a,false,false,false,single,false,
학여울,학여울,11680 강남구,1,3호선,0346,0,학여울,N,n/a,false,false,false,single,false,
한강진,한강진,11170 용산구,1,6호선,0631,0,한강진,N,n/a,false,false,false,single,false,
한남,한남역,11170 용산구,1,경원선,1010,0,한남역,N,n/a,false,true,true,single,false,
한성대입구,한성대입구,11290 성북구,1,4호선,0419,0,한성대입구 | 한성대입구(삼선교) | 삼선교,N,n/a,false,false,false,single,false,
한성백제,한성백제,11710 송파구,1,수도권  도시철도 9호선,4135,0,한성백제,N,n/a,false,false,false,single,false,
한양대,한양대,11200 성동구,1,2호선,0209,0,한양대,N,n/a,false,false,false,single,false,
한티,한티역,11680 강남구,1,분당선,1024,0,한티역,N,n/a,false,true,true,single,false,
행당,행당,11200 성동구,1,5호선,0539,0,행당,N,n/a,false,false,false,single,false,
혜화,혜화,11110 종로구,1,4호선,0420,0,혜화,N,n/a,false,false,false,single,false,
홍제,홍제,11410 서대문구,1,3호선,0324,0,홍제,N,n/a,false,false,false,single,false,
화계,화계,11305 강북구,1,우이신설선,S114,0,화계,N,n/a,false,true,true,single,false,
화곡,화곡,11500 강서구,1,5호선,0517,0,화곡,N,n/a,false,false,false,single,false,
화랑대,화랑대,11350 노원구,1,6호선,0646,0,화랑대 | 화랑대(서울여대입구) | 서울여대입구 | 화랑대 (서울여대입구),N,n/a,false,false,false,single,false,
회현,회현,11140 중구,1,4호선,0425,0,회현 | 회현(남대문시장) | 남대문시장,N,n/a,false,false,false,single,false,
흑석,흑석,11590 동작구,1,서울 도시철도 9호선,4119,0,흑석 | 흑석(중앙대입구) | 중앙대입구,N,n/a,false,true,true,single,false,
